eigen_values;results
['(-1+1.8995327925655188e-08j)', '(-1-1.8995327925655188e-08j)'];0
['8.54983443527075', '-6.54983443527075'];1
['(1.9999999999999998+5.099019513592784j)', '(1.9999999999999998-5.099019513592784j)'];1
['0.24264068711928388', '-8.242640687119286'];1
['-2.4494897427831788', '2.4494897427831783'];1
['(-5+6.324555320336758j)', '(-5-6.324555320336758j)'];0
['2.0', '4.0'];1
['5.898979485566356', '-3.898979485566356'];1
['15.62414379544733', '-2.6241437954473295'];1
['9.426149773176359', '-7.426149773176359'];1
['8.0', '-3.0'];1
['10.0', '-7.0'];1
['6.0', '-4.0'];1
['8.452986860293432', '-7.452986860293433'];1
['0.3944487245360113', '7.60555127546399'];1
['-0.9999999999999991', '-8.881784197001252e-16'];0
['(1+7.937253933193772j)', '(1-7.937253933193772j)'];1
['(-1.0000000000000002+5.656854249492381j)', '(-1.0000000000000002-5.656854249492381j)'];0
['-2.324555320336758', '10.324555320336758'];1
['(-2+2.8284271247461894j)', '(-2-2.8284271247461894j)'];0
['10.0', '-7.0'];1
['4.0', '2.0'];1
['10.124038404635959', '-6.124038404635961'];1
['(4+2.8284271247461894j)', '(4-2.8284271247461894j)'];1
['-5.152067347825035', '8.152067347825035'];1
['8.772001872658766', '0.22799812734123437'];1
['(0.49999999999999944+6.5383484153110105j)', '(0.49999999999999944-6.5383484153110105j)'];1
['1.7084973778708186', '12.291502622129181'];1
['9.0', '-6.0'];1
['9.513878188659973', '-8.513878188659973'];1
['(-3.9999999999999987+8.426149773176357j)', '(-3.9999999999999987-8.426149773176357j)'];0
['7.0', '-1.0'];1
['0.0', '-5.0'];1
['(-7+6.4031242374328485j)', '(-7-6.4031242374328485j)'];0
['7.720153254455276', '-2.7201532544552753'];1
['5.928203230275509', '-7.928203230275509'];1
['0.3722813232690143', '-5.372281323269014'];1
['3.0', '-7.0'];1
['5.262087348130011', '-10.262087348130013'];1
['7.4833147735478835', '-7.483314773547883'];1
['5.658910531638178', '-8.658910531638176'];1
['11.744562646538029', '0.2554373534619714'];1
['(0.9999999999999999+4.79583152331272j)', '(0.9999999999999999-4.79583152331272j)'];1
['-12.54400374531753', '4.544003745317532'];1
['(-8+7.348469228349534j)', '(-8-7.348469228349534j)'];0
['(2.4999999999999996+6.6143782776614755j)', '(2.4999999999999996-6.6143782776614755j)'];1
['-8.761355820929154', '7.761355820929153'];1
['7.140054944640259', '-0.14005494464025925'];1
['(2.499999999999999+0.8660254037844389j)', '(2.499999999999999-0.8660254037844389j)'];1
['-3.2583426132260582', '-10.74165738677394'];0
['-10.58257569495584', '-1.4174243050441606'];0
['-6.844288770224761', '5.84428877022476'];1
['7.0', '4.0'];1
['2.0', '-7.0'];1
['(5+3.3166247903553994j)', '(5-3.3166247903553994j)'];1
['-8.2169905660283', '1.2169905660283018'];1
['-7.1231056256176615', '1.1231056256176606'];1
['-8.0', '6.0'];1
['5.0', '8.0'];1
['0.0', '-9.0'];1
['(4.5+3.4278273002005224j)', '(4.5-3.4278273002005224j)'];1
['3.0', '-14.0'];1
['-6.541381265149109', '-0.4586187348508899'];0
['(8+8.485281374238571j)', '(8-8.485281374238571j)'];1
['-8.486832980505138', '10.486832980505138'];1
['-12.424428900898052', '-2.575571099101947'];0
['(9+6.928203230275509j)', '(9-6.928203230275509j)'];1
['-1.937253933193773', '13.937253933193771'];1
['-12.0', '-3.0'];0
['0.2169905660283007', '-9.216990566028302'];1
['7.452986860293432', '-8.452986860293434'];1
['(-2.5+1.6583123951776995j)', '(-2.5-1.6583123951776995j)'];0
['-0.3095842401765694', '-9.690415759823429'];0
['-7.0', '-5.0'];0
['-8.426149773176359', '8.426149773176359'];1
['-6.0', '-3.0'];0
['(8.5+6.910137480542626j)', '(8.5-6.910137480542626j)'];1
['(-6+6.324555320336759j)', '(-6-6.324555320336759j)'];0
['3.0', '-7.0'];1
['6.23606797749979', '1.7639320225002102'];1
['10.324555320336758', '-2.3245553203367586'];1
['4.274917217635375', '-3.274917217635375'];1
['(2+4.242640687119285j)', '(2-4.242640687119285j)'];1
['(-1.4999999999999998+5.809475019311125j)', '(-1.4999999999999998-5.809475019311125j)'];0
['-9.810249675906654', '5.810249675906654'];1
['-1.1925824035672523', '4.192582403567252'];1
['7.58257569495584', '-1.5825756949558398'];1
['-1.0', '0.0'];1
['(-2.5+6.304760106459246j)', '(-2.5-6.304760106459246j)'];0
['7.708203932499369', '-5.708203932499369'];1
['-4.782329983125269', '8.782329983125267'];1
['(0.49999999999999967+3.122498999199199j)', '(0.49999999999999967-3.122498999199199j)'];1
['(-2+3.3166247903554j)', '(-2-3.3166247903554j)'];0
['(7.999999999999999+5.385164807134504j)', '(7.999999999999999-5.385164807134504j)'];1
['3.0', '-11.0'];1
['1.3722813232690143', '-4.372281323269014'];1
['(-4+4.242640687119284j)', '(-4-4.242640687119284j)'];0
['4.690415759823431', '-4.69041575982343'];1
['-9.433981132056605', '9.433981132056603'];1
['(1.4999999999999998+3.4278273002005215j)', '(1.4999999999999998-3.4278273002005215j)'];1
['2.623475382979798', '-7.6234753829798'];1
['5.196152422706631j', '-5.196152422706631j'];1
['-9.226812023536855', '4.226812023536855'];1
['5.0', '-3.0'];1
['(6.999999999999999+5.567764362830022j)', '(6.999999999999999-5.567764362830022j)'];1
['5.47213595499958', '-3.4721359549995796'];1
['4.588723439378914', '-9.588723439378912'];1
['-10.452986860293432', '5.452986860293433'];1
['4.744562646538029', '-6.744562646538029'];1
['2.0', '8.0'];1
['(-3+6.324555320336759j)', '(-3-6.324555320336759j)'];0
['-4.0', '-5.0'];0
['2.7416573867739418', '-4.741657386773941'];1
['(-6.499999999999999+2.783882181415011j)', '(-6.499999999999999-2.783882181415011j)'];0
['-5.458618734850891', '-11.54138126514911'];0
['(-2.5+4.769696007084728j)', '(-2.5-4.769696007084728j)'];0
['-0.7731879764631451', '-14.226812023536855'];0
['3.872983346207416', '-3.872983346207417'];1
['6.68465843842649', '-5.684658438426491'];1
['(8+7.874007874011811j)', '(8-7.874007874011811j)'];1
['(-3.5000000000000004+6.98212002188447j)', '(-3.5000000000000004-6.98212002188447j)'];0
['-7.211102550927979', '7.211102550927978'];1
['-10.567764362830022', '0.567764362830022'];1
['9.0', '7.0'];1
['(-2.999999999999999+4.472135954999579j)', '(-2.999999999999999-4.472135954999579j)'];0
['8.717797887081346', '-8.717797887081346'];1
['(-2+2j)', '(-2-2j)'];0
['8.0', '-12.0'];1
['-12.291502622129181', '-1.7084973778708195'];0
['(8.5+1.9364916731037083j)', '(8.5-1.9364916731037083j)'];1
['2.5311288741492746', '-5.531128874149275'];1
['-10.0', '8.0'];1
['4.916079783099617', '-6.916079783099616'];1
['-4.658910531638178', '9.658910531638176'];1
['-4.854101966249685', '1.8541019662496845'];1
['(4.5+2.179449471770336j)', '(4.5-2.179449471770336j)'];1
['(-1.9999999999999998+0.9999999999999998j)', '(-1.9999999999999998-0.9999999999999998j)'];0
['-11.0', '7.0'];1
['-4.0', '9.0'];1
['-4.464101615137754', '2.4641016151377544'];1
['7.0', '7.0'];1
['(-4.5+3.4278273002005224j)', '(-4.5-3.4278273002005224j)'];0
['-6.639410298049853', '9.639410298049853'];1
['8.0', '-6.0'];1
['-4.0', '6.0'];1
['6.18535277187245', '-10.18535277187245'];1
['-11.18535277187245', '5.18535277187245'];1
['-9.774964387392123', '7.774964387392122'];1
['(0.4999999999999997+4.444097208657794j)', '(0.4999999999999997-4.444097208657794j)'];1
['-2.424428900898052', '7.424428900898052'];1
['-5.0', '9.0'];1
['1.5207972893961461', '-10.520797289396148'];1
['-4.561552812808831', '-0.4384471871911697'];0
['-11.782329983125269', '1.7823299831252672'];1
['5.226812023536855', '-8.226812023536855'];1
['-11.328203913853855', '10.328203913853859'];1
['-9.0', '0.0'];1
['10.840770846134703', '-7.840770846134701'];1
['(7.5+1.9364916731037085j)', '(7.5-1.9364916731037085j)'];1
['4.0', '3.0'];1
['(5.5+5.634713834792322j)', '(5.5-5.634713834792322j)'];1
['8.881784197001252e-16', '-10.0'];1
['-5.0', '3.0'];1
['(-4.999999999999999+2.2360679774997894j)', '(-4.999999999999999-2.2360679774997894j)'];0
['9.0', '-8.0'];1
['-12.366600265340756', '4.366600265340756'];1
['14.38083151964686', '-4.380831519646859'];1
['-2.0', '3.0'];1
['4.782329983125269', '-8.782329983125269'];1
['-5.385164807134505', '5.385164807134504'];1
['(-3.499999999999999+2.7838821814150108j)', '(-3.499999999999999-2.7838821814150108j)'];0
['(-0.4999999999999999+3.708099243547832j)', '(-0.4999999999999999-3.708099243547832j)'];0
['9.701562118716424', '3.2984378812835757'];1
['-9.291502622129181', '1.291502622129181'];1
['8.0', '5.0'];1
['9.116843969807045', '-8.116843969807043'];1
['(3+5.477225575051661j)', '(3-5.477225575051661j)'];1
['(7.999999999999999+1.9999999999999998j)', '(7.999999999999999-1.9999999999999998j)'];1
['1.7015621187164243', '-4.701562118716424'];1
['(-9+7.348469228349534j)', '(-9-7.348469228349534j)'];0
['-4.232124598286491', '13.23212459828649'];1
['-6.588723439378914', '7.588723439378913'];1
['12.0', '-6.0'];1
['-4.280109889280517', '10.280109889280519'];1
['9.0', '4.0'];1
['10.562305898749052', '-9.562305898749054'];1
['5.196152422706632', '-5.196152422706632'];1
['3.8989794855663558', '-5.898979485566356'];1
['(4+3.872983346207417j)', '(4-3.872983346207417j)'];1
['-14.0', '-1.0'];0
['-1.0', '10.0'];1
['5.60555127546399', '-1.6055512754639891'];1
['9.865459931328118', '-4.865459931328118'];1
['(-1.4999999999999996+4.769696007084727j)', '(-1.4999999999999996-4.769696007084727j)'];0
['(2.4999999999999996+6.614378277661476j)', '(2.4999999999999996-6.614378277661476j)'];1
['(-2.000000000000001+6.164414002968977j)', '(-2.000000000000001-6.164414002968977j)'];0
['(-7.5+2.958039891549808j)', '(-7.5-2.958039891549808j)'];0
['-12.244997998398398', '0.2449979983983983'];1
['-1.8599450553597414', '-9.140054944640259'];0
['-3.1231056256176606', '5.123105625617661'];1
['0.21110255092797914', '-14.21110255092798'];1
['8.0', '3.0'];1
['4.0', '-9.0'];1
['-5.567764362830022', '5.5677643628300215'];1
['(-1.4999999999999998+5.267826876426368j)', '(-1.4999999999999998-5.267826876426368j)'];0
['3.3722813232690143', '-2.3722813232690143'];1
['7.192582403567252', '1.807417596432748'];1
['-3.274917217635375', '4.274917217635375'];1
['-4.162277660168379', '2.162277660168379'];1
['5.0', '5.0'];1
['0.2041684766872809', '9.79583152331272'];1
['-6.0', '-1.0'];0
['-8.54400374531753', '8.544003745317532'];1
['3.4688711258507254', '11.531128874149275'];1
['(3+5.999999999999999j)', '(3-5.999999999999999j)'];1
['-6.701562118716424', '-0.2984378812835757'];0
['(-3+5.0990195135927845j)', '(-3-5.0990195135927845j)'];0
['6.2449979983983965', '-6.244997998398398'];1
['2.1097722286464435', '-7.1097722286464435'];1
['4.0', '-2.0'];1
['5.615773105863909', '-9.615773105863909'];1
['-5.358898943540673', '3.3588989435406735'];1
['6.0', '-8.0'];1
['11.219544457292887', '-7.219544457292887'];1
['(-0.4999999999999996+4.5552167895721505j)', '(-0.4999999999999996-4.5552167895721505j)'];0
['9.816653826391967', '-11.816653826391969'];1
['14.291502622129181', '3.7084973778708195'];1
['-7.898979485566356', '1.8989794855663562'];1
['9.582575694955839', '0.41742430504415995'];1
['(-2.5+2.598076211353316j)', '(-2.5-2.598076211353316j)'];0
['2.0', '6.0'];1
['(8.5+7.33143914930759j)', '(8.5-7.33143914930759j)'];1
['-3.6332495807107996', '9.6332495807108'];1
['-6.0', '-8.0'];0
['-7.0', '9.0'];1
['(-4+1.4142135623730958j)', '(-4-1.4142135623730958j)'];0
['-4.302775637731994', '-0.6972243622680052'];0
['(-9+7.4833147735478835j)', '(-9-7.4833147735478835j)'];0
['3.6277186767309857', '9.372281323269014'];1
['0.3851648071345046', '-10.385164807134505'];1
['-4.437171043518958', '7.437171043518959'];1
['(-0.9999999999999998+2.4494897427831788j)', '(-0.9999999999999998-2.4494897427831788j)'];0
['1.6568542494923806', '-9.65685424949238'];1
['2.8989794855663567', '-6.898979485566356'];1
['-9.358898943540673', '-0.641101056459326'];0
['1.7720018726587652', '-6.772001872658766'];1
['7.531128874149275', '-0.5311288741492748'];1
['12.544003745317532', '-4.54400374531753'];1
['15.0', '0.0'];1
['6.795831523312719', '-2.7958315233127196'];1
['(-4.5+7.858116822750854j)', '(-4.5-7.858116822750854j)'];0
['(7.5+3.4278273002005224j)', '(7.5-3.4278273002005224j)'];1
['(3+3.3166247903554j)', '(3-3.3166247903554j)'];1
['-2.0', '2.0'];1
['-8.922616289332565', '3.9226162893325647'];1
['-7.477225575051662', '3.477225575051661'];1
['(2.499999999999999+7.794228634059947j)', '(2.499999999999999-7.794228634059947j)'];1
['1.5358983848622456', '8.464101615137755'];1
['7.152067347825035', '-6.152067347825035'];1
['6.358898943540673', '-2.3588989435406735'];1
['8.0', '-5.0'];1
['(-2.5+2.7838821814150108j)', '(-2.5-2.7838821814150108j)'];0
['6.424428900898054', '-3.4244289008980524'];1
['-4.48074069840786', '8.48074069840786'];1
['4.0', '-5.0'];1
['-3.618033988749895', '-1.381966011250105'];0
['5.0', '-8.0'];1
['(5+3.1622776601683795j)', '(5-3.1622776601683795j)'];1
['0.27984674554472466', '10.720153254455276'];1
['(-6.5+3.4278273002005224j)', '(-6.5-3.4278273002005224j)'];0
['-0.24264068711928388', '8.242640687119286'];1
['-8.815072906367325', '1.8150729063673248'];1
['(-2.5+3.708099243547831j)', '(-2.5-3.708099243547831j)'];0
['4.152067347825035', '-9.152067347825035'];1
['5.3166247903554', '-1.3166247903553998'];1
['(0.5000000000000001+5.172040216394299j)', '(0.5000000000000001-5.172040216394299j)'];1
['-7.88748219369606', '0.8874821936960611'];1
['7.0', '-9.0'];1
['-7.701562118716424', '-1.2984378812835757'];0
['2.0', '-4.0'];1
['-7.8815273071201055', '8.881527307120106'];1
['8.352349955359813', '-3.352349955359813'];1
['-5.772001872658765', '2.7720018726587656'];1
['3.0000000000000004', '-0.9999999999999996'];1
['-4.291502622129181', '6.291502622129181'];1
['(3.4999999999999996+7.193747284969079j)', '(3.4999999999999996-7.193747284969079j)'];1
['4.0', '4.0'];1
['(5+6.855654600401043j)', '(5-6.855654600401043j)'];1
['(1+3.464101615137754j)', '(1-3.464101615137754j)'];1
['7.0', '-6.0'];1
['5.865459931328118', '-8.865459931328118'];1
['-11.899494936611667', '7.899494936611665'];1
['-12.269427669584644', '10.269427669584644'];1
['(-7+6.928203230275509j)', '(-7-6.928203230275509j)'];0
['6.561552812808831', '2.4384471871911697'];1
['-7.0', '8.0'];1
['(-2+6.855654600401045j)', '(-2-6.855654600401045j)'];0
['(5.499999999999998+4.555216789572149j)', '(5.499999999999998-4.555216789572149j)'];1
['(5.999999999999998+6.6332495807108j)', '(5.999999999999998-6.6332495807108j)'];1
['2.0', '-9.0'];1
['(-6+1.4142135623730945j)', '(-6-1.4142135623730945j)'];0
['3.0', '2.0'];1
['(-0.49999999999999994+4.330127018922193j)', '(-0.49999999999999994-4.330127018922193j)'];0
['-4.0', '9.0'];1
['2.641101056459327', '11.358898943540673'];1
['-7.141428428542849', '7.14142842854285'];1
['(-1.5000000000000004+5.454356057317858j)', '(-1.5000000000000004-5.454356057317858j)'];0
['(6.5+1.322875655532296j)', '(6.5-1.322875655532296j)'];1
['8.289197915623475', '-9.289197915623474'];1
['(-1.9999999999999998+2.6457513110645907j)', '(-1.9999999999999998-2.6457513110645907j)'];0
['(5.5+7.33143914930759j)', '(5.5-7.33143914930759j)'];1
['-8.2662812973354', '3.2662812973353974'];1
['5.0', '-1.0'];1
['-7.289197915623475', '10.289197915623472'];1
['4.464101615137754', '-2.4641016151377544'];1
['-9.639410298049853', '6.639410298049853'];1
['5.745966692414834', '-9.745966692414834'];1
['4.48074069840786', '-8.48074069840786'];1
['6.0', '4.0'];1
['-1.9999999999999982', '-8.881784197001252e-16'];0
['-1.5498344352707498', '13.54983443527075'];1
['(-5+7.000000000000001j)', '(-5-7.000000000000001j)'];0
['(3.5+3.1224989991991987j)', '(3.5-3.1224989991991987j)'];1
['(-3.9999999999999996+5.099019513592785j)', '(-3.9999999999999996-5.099019513592785j)'];0
['(-5.5+2.598076211353316j)', '(-5.5-2.598076211353316j)'];0
['-5.37386354243376', '8.37386354243376'];1
['3.0', '-3.0'];1
['7.48074069840786', '-5.48074069840786'];1
['2.5358983848622456', '9.464101615137755'];1
['(-0.5000000000000002+3.4278273002005215j)', '(-0.5000000000000002-3.4278273002005215j)'];0
['(5.5+3.4278273002005215j)', '(5.5-3.4278273002005215j)'];1
['(-5+3j)', '(-5-3j)'];0
['-5.402246907382429', '12.402246907382427'];1
['9.48528137423857', '-7.48528137423857'];1
['(-4.5+4.663689526544407j)', '(-4.5-4.663689526544407j)'];0
['(-0.9999999999999996+5.0990195135927845j)', '(-0.9999999999999996-5.0990195135927845j)'];0
['4.684658438426489', '-7.684658438426491'];1
['(3.999999999999999+7.416198487095663j)', '(3.999999999999999-7.416198487095663j)'];1
['(2.499999999999999+2.9580398915498067j)', '(2.499999999999999-2.9580398915498067j)'];1
['-6.164414002968975', '6.164414002968977'];1
['2.0', '8.0'];1
['-7.937253933193773', '7.937253933193771'];1
['(-0.49999999999999983+4.663689526544406j)', '(-0.49999999999999983-4.663689526544406j)'];0
['-2.5358983848622456', '-9.464101615137755'];0
['7.0', '-2.0'];1
['(-6+1.4142135623730943j)', '(-6-1.4142135623730943j)'];0
['-2.5825756949558407', '6.582575694955839'];1
['4.3166247903554', '-2.3166247903554'];1
['(-0.5+4.444097208657795j)', '(-0.5-4.444097208657795j)'];0
['1.5825756949558407', '-7.58257569495584'];1
['2.302775637731995', '-1.3027756377319946'];1
['5.0', '1.0'];1
['(7+4.898979485566357j)', '(7-4.898979485566357j)'];1
['9.0', '4.0'];1
['9.380831519646861', '-9.38083151964686'];1
['-5.561552812808831', '-1.4384471871911697'];0
['-11.764982043070834', '0.7649820430708338'];1
['-3.0', '-8.0'];0
['-10.485281374238571', '6.4852813742385695'];1
['(-0.4999999999999999+5.454356057317857j)', '(-0.4999999999999999-5.454356057317857j)'];0
['(-3.999999999999999+2.2360679774997894j)', '(-3.999999999999999-2.2360679774997894j)'];0
['-2.0', '-5.0'];0
['(-1.0000000000000004+6.164414002968976j)', '(-1.0000000000000004-6.164414002968976j)'];0
['-9.262087348130013', '6.262087348130011'];1
['-10.531128874149275', '-2.468871125850725'];0
['6.066372975210779', '-9.066372975210777'];1
['1.0', '0.0'];1
['9.0', '-6.0'];1
['-2.358898943540673', '6.358898943540674'];1
['(-3.5+3.708099243547831j)', '(-3.5-3.708099243547831j)'];0
['-5.0', '-7.0'];0
['-1.0', '-3.0'];0
['1.0', '-1.0'];1
['(-2.5000000000000004+1.3228756555322947j)', '(-2.5000000000000004-1.3228756555322947j)'];0
['(2.5+3.4278273002005215j)', '(2.5-3.4278273002005215j)'];1
['(-5.5+8.351646544245032j)', '(-5.5-8.351646544245032j)'];0
['3.4641016151377535', '-3.4641016151377544'];1
['5.561552812808831', '1.4384471871911697'];1
['(2+7.280109889280516j)', '(2-7.280109889280516j)'];1
['-3.7015621187164243', '2.7015621187164243'];1
['0.0', '-9.0'];1
['(-3.5+2.78388218141501j)', '(-3.5-2.78388218141501j)'];0
['7.928203230275509', '-5.928203230275509'];1
['-10.452986860293432', '5.452986860293434'];1
['(-3.4999999999999996+8.470537173048706j)', '(-3.4999999999999996-8.470537173048706j)'];0
['-7.937253933193773', '7.937253933193771'];1
['3.5615528128088303', '-0.5615528128088303'];1
['-4.324555320336758', '8.32455532033676'];1
['-6.300735254367723', '7.300735254367722'];1
['-2.8902277713535565', '-12.109772228646444'];0
['-5.141428428542849', '9.14142842854285'];1
['10.678779875342908', '-7.678779875342911'];1
['-12.424428900898054', '-2.575571099101948'];0
['5.6533119314590365', '-2.6533119314590374'];1
['5.0', '-7.0'];1
['1.2169905660283007', '-8.216990566028302'];1
['8.0', '9.0'];1
['2.4688711258507254', '10.531128874149275'];1
['-2.684658438426492', '9.68465843842649'];1
['(-6.499999999999999+8.470537173048706j)', '(-6.499999999999999-8.470537173048706j)'];0
['-10.72841614740048', '3.72841614740048'];1
['-7.366600265340756', '9.366600265340756'];1
['8.922616289332565', '-3.9226162893325647'];1
['-10.246950765959596', '10.2469507659596'];1
['(-7+8.426149773176357j)', '(-7-8.426149773176357j)'];0
['2.0', '-12.0'];1
['(8+3.872983346207417j)', '(8-3.872983346207417j)'];1
['-5.0', '7.0'];1
['(3.9999999999999996+4.472135954999579j)', '(3.9999999999999996-4.472135954999579j)'];1
['(4+0.9999999999999994j)', '(4-0.9999999999999994j)'];1
['2.837722339831621', '9.16227766016838'];1
['(2.5+6.461423991660043j)', '(2.5-6.461423991660043j)'];1
['4.898979485566356j', '-4.898979485566356j'];1
['-4.60555127546399', '2.605551275463989'];1
['-1.9999999999999996', '-3.0'];0
['(5.5+5.454356057317858j)', '(5.5-5.454356057317858j)'];1
['-6.68465843842649', '5.68465843842649'];1
['-6.0', '-1.0'];0
['2.6568542494923797', '-8.65685424949238'];1
['14.62414379544733', '-3.6241437954473295'];1
['(-1.4999999999999996+1.6583123951776995j)', '(-1.4999999999999996-1.6583123951776995j)'];0
['-8.58257569495584', '0.5825756949558394'];1
['8.937253933193773', '-6.937253933193771'];1
['(4.500000000000001+3.427827300200522j)', '(4.500000000000001-3.427827300200522j)'];1
['(-0.49999999999999983+1.3228756555322951j)', '(-0.49999999999999983-1.3228756555322951j)'];0
['3.0', '-3.0'];1
['-12.06225774829855', '4.062257748298549'];1
['-7.0', '1.0'];1
['(-8.5+4.444097208657795j)', '(-8.5-4.444097208657795j)'];0
['(6+6j)', '(6-6j)'];1
['4.446221994724902', '-9.446221994724903'];1
['(9+3.4641016151377544j)', '(9-3.4641016151377544j)'];1
['(3.4999999999999996+4.663689526544407j)', '(3.4999999999999996-4.663689526544407j)'];1
['10.2169905660283', '0.783009433971698'];1
['(2.0000000000000004+4j)', '(2.0000000000000004-4j)'];1
['-10.0', '-4.0'];0
['-4.0', '3.0'];1
['-4.0', '0.0'];1
['9.0', '-3.0'];1
['1.6904157598234306', '-7.69041575982343'];1
['8.88748219369606', '0.11251780630393898'];1
['(5+5.385164807134503j)', '(5-5.385164807134503j)'];1
['-3.764982043070834', '8.764982043070834'];1
['(-4.5+6.910137480542627j)', '(-4.5-6.910137480542627j)'];0
['7.358898943540673', '-1.3588989435406735'];1
['5.520797289396147', '-6.520797289396148'];1
['-6.352349955359813', '5.352349955359813'];1
['(3+7.937253933193773j)', '(3-7.937253933193773j)'];1
['(-5.500000000000002+3.9686269665968865j)', '(-5.500000000000002-3.9686269665968865j)'];0
['-7.72841614740048', '6.72841614740048'];1
['(-6.5+7.92148975887743j)', '(-6.5-7.92148975887743j)'];0
['-3.0', '-6.0'];0
['(-2.5+5.7227615711298j)', '(-2.5-5.7227615711298j)'];0
['(5+6j)', '(5-6j)'];1
['5.416198487095663', '-9.416198487095663'];1
['0.0', '-7.0'];1
['(7.499999999999999+5.07444578254611j)', '(7.499999999999999-5.07444578254611j)'];1
['6.0', '-8.0'];1
['-3.274917217635375', '4.274917217635375'];1
['0.7912878474779195', '-3.79128784747792'];1
['8.0', '2.0'];1
['(-6.999999999999998+6.2449979983983965j)', '(-6.999999999999998-6.2449979983983965j)'];0
['4.468871125850725', '12.531128874149275'];1
['(3.499999999999999+6.910137480542626j)', '(3.499999999999999-6.910137480542626j)'];1
['0.6032778078668519', '-11.603277807866851'];1
['(2.5000000000000004+1.936491673103709j)', '(2.5000000000000004-1.936491673103709j)'];1
['17.0', '0.0'];1
['3.0', '1.0'];1
['(-1+3j)', '(-1-3j)'];0
['7.732050807568877', '4.267949192431123'];1
['(-1.9999999999999998+6.403124237432849j)', '(-1.9999999999999998-6.403124237432849j)'];0
['-6.0', '5.0'];1
['6.0827625302982185', '-6.08276253029822'];1
['-4.0', '-6.0'];0
['-3.933034373659254', '10.933034373659252'];1
['7.0', '-5.0'];1
['-10.094810050208544', '11.094810050208546'];1
['(-3.500000000000001+4.21307488658818j)', '(-3.500000000000001-4.21307488658818j)'];0
['(6+5.65685424949238j)', '(6-5.65685424949238j)'];1
['(-6+7.937253933193773j)', '(-6-7.937253933193773j)'];0
['(-6.5+1.9364916731037083j)', '(-6.5-1.9364916731037083j)'];0
['0.8729833462074161', '-6.872983346207417'];1
